mse,p_norm,l2_norm
0.0075647244,1.583472,0.51115674
0.0075538815,1.5838252,0.5107903
0.0075460323,1.5841758,0.5105248
0.007539174,1.5845252,0.51029277
0.007530428,1.584876,0.5099967
0.0075228233,1.5852294,0.50973904
0.007514436,1.5855796,0.50945485
0.007502459,1.5859308,0.5090487
0.0074909236,1.5862786,0.5086572
0.0074830176,1.5866251,0.5083887
0.0074778358,1.5869706,0.5082126
0.0074768635,1.5873157,0.5081796
0.0074700564,1.5876569,0.5079483
0.007458329,1.5879972,0.50754935
0.007448324,1.5883389,0.5072088
0.007442652,1.5886806,0.50701565
0.0074424595,1.5890181,0.5070091
0.0074414243,1.5893557,0.50697386
0.0074369926,1.5896932,0.5068228
0.007429058,1.590029,0.5065524
0.0074209454,1.5903653,0.5062758
0.0074095903,1.5907007,0.5058882
0.0073963525,1.5910374,0.5054361
0.007387657,1.5913707,0.505139
0.0073824413,1.5917021,0.5049606
0.0073788166,1.5920334,0.5048366
0.007375111,1.5923642,0.50470984
0.0073664235,1.5926925,0.5044125
0.007360688,1.5930206,0.5042161
0.0073509524,1.593349,0.5038825
0.0073426105,1.5936757,0.50359654
0.007336778,1.5940015,0.5033965
0.007331683,1.5943264,0.5032217
0.007328847,1.5946517,0.50312436
0.0073245564,1.5949734,0.5029771
0.007319081,1.5952941,0.502789
0.0073094973,1.595613,0.5024597
0.007298231,1.5959331,0.50207233
0.0072955745,1.5962527,0.50198096
0.007291474,1.5965734,0.5018399
0.0072828485,1.596893,0.501543
0.0072738575,1.5972124,0.50123334
0.007265558,1.5975324,0.5009473
