mse,p_norm,l2_norm
0.0055395183,1.5718112,0.43741482
0.0055267303,1.5721343,0.43690968
0.005517563,1.5724554,0.43654716
0.0055157626,1.5727735,0.43647596
0.0055127842,1.5730927,0.43635806
0.005500333,1.5734073,0.435865
0.0054921675,1.5737172,0.43554136
0.0054902676,1.5740305,0.43546602
0.005486283,1.5743424,0.43530798
0.0054739644,1.5746539,0.43481898
0.005465221,1.5749677,0.43447158
0.0054638376,1.5752763,0.43441662
0.005457135,1.5755862,0.43415007
0.0054464433,1.575894,0.43372455
0.0054412535,1.5762005,0.43351784
0.0054391054,1.5765078,0.43343228
0.0054303114,1.5768106,0.43308178
0.0054219295,1.5771132,0.4327474
0.005413143,1.5774176,0.43239656
0.0054093236,1.5777206,0.43224403
0.0054047713,1.5780233,0.43206212
0.005395075,1.5783277,0.43167433
0.00538722,1.5786284,0.43136
0.005383255,1.5789245,0.43120125
0.0053786365,1.5792183,0.4310162
0.0053687287,1.5795105,0.43061903
0.0053602774,1.5798044,0.43027997
0.005358195,1.580098,0.4301964
0.0053544906,1.5803921,0.43004766
0.005341215,1.5806824,0.4295142
0.0053308564,1.5809728,0.42909753
0.00533131,1.5812591,0.42911577
0.005325644,1.5815486,0.42888767
0.0053119995,1.5818362,0.42833793
0.005308023,1.5821254,0.4281776
0.005306594,1.582413,0.4281199
0.00529964,1.5827004,0.42783928
0.0052873874,1.5829861,0.42734444
0.0052817264,1.5832686,0.42711562
0.0052805524,1.5835491,0.42706814
0.0052723167,1.5838289,0.42673498
0.005259292,1.5841088,0.42620757
0.005257064,1.5843829,0.4261173
0.005253332,1.5846547,0.42596602
0.0052428176,1.5849259,0.4255395
0.005234095,1.5851965,0.42518532
0.005231979,1.5854691,0.4250994
0.005228996,1.5857396,0.42497823
0.005214342,1.5860083,0.42438233
0.005208646,1.586273,0.42415044
0.005209731,1.5865343,0.4241946
0.0052044857,1.5867935,0.423981
0.0051894146,1.5870535,0.4233667
0.0051841033,1.5873181,0.42314997
0.005182539,1.587584,0.42308617
0.005172685,1.5878452,0.4226837
0.005160314,1.5881122,0.422178
0.005158865,1.5883765,0.4221187
0.0051581585,1.5886421,0.4220898
0.0051487796,1.5889069,0.4217059
0.0051374324,1.5891707,0.42124093
0.005131067,1.5894374,0.42097986
0.005127769,1.5897013,0.42084455
0.005119508,1.5899615,0.42050543
0.00510977,1.5902191,0.4201053
0.0051102876,1.5904717,0.42012662
0.0051061492,1.5907238,0.41995648
0.0050948113,1.5909706,0.41948998
0.0050854054,1.5912178,0.4191026
0.005081757,1.5914677,0.41895217
0.0050759665,1.5917184,0.41871342
0.005065628,1.5919685,0.4182868
0.005059677,1.592216,0.41804102
0.005058945,1.5924623,0.41801077
0.005053302,1.5927123,0.41777763
0.0050403434,1.5929594,0.41724157
0.005032223,1.5932074,0.41690537
0.005031996,1.5934527,0.4168959
0.0050265356,1.5936986,0.41666967
0.005014155,1.5939416,0.41615623
0.0050102044,1.5941826,0.4159923
0.005009362,1.5944277,0.41595727
0.0049995244,1.5946733,0.41554862
0.0049883146,1.5949196,0.4150825
0.0049833334,1.5951612,0.41487524
0.0049796966,1.5954021,0.4147238
0.0049695913,1.5956416,0.41430277
0.0049657705,1.5958805,0.41414347
0.0049617896,1.5961186,0.41397747
0.004952043,1.5963553,0.4135706
0.0049463157,1.5965933,0.41333142
0.0049413163,1.5968316,0.4131225
0.004934991,1.5970663,0.41285798
0.0049280953,1.5973009,0.41256943
0.0049206065,1.5975341,0.41225588
0.004916416,1.5977664,0.41208026
0.004908572,1.5979995,0.4117514
0.0048975428,1.5982338,0.41128853
0.0048936848,1.598465,0.41112652
0.0048889183,1.5986968,0.41092628
0.0048835617,1.5989313,0.41070113
0.004875287,1.599165,0.41035298
0.00486952,1.5993972,0.4101102
0.0048631676,1.5996255,0.4098426
0.004858145,1.5998529,0.40963095
0.004849623,1.6000819,0.40927148
0.004843521,1.6003098,0.40901393
0.004838973,1.600535,0.40882188
0.004831023,1.6007627,0.40848586
0.004824325,1.6009896,0.40820265
0.004818405,1.6012158,0.4079521
0.0048138523,1.6014427,0.4077593
0.004808211,1.6016676,0.40752032
0.0048014787,1.601891,0.40723494
0.004794595,1.6021115,0.40694287
0.0047861887,1.6023293,0.40658602
0.004780906,1.602546,0.40636155
0.0047745015,1.6027608,0.40608928
0.004768218,1.6029729,0.405822
0.0047617937,1.6031849,0.4055485
0.0047558453,1.6033977,0.4052951
0.0047513866,1.6036083,0.40510508
0.00474393,1.6038169,0.40478706
0.004737082,1.604026,0.40449482
0.004729861,1.6042341,0.4041864
0.004724164,1.6044409,0.4039429
0.004716025,1.6046468,0.4035948
0.004712841,1.6048512,0.40345857
0.0047068065,1.6050559,0.40320012
0.0046982155,1.6052613,0.402832
0.0046925033,1.605466,0.40258703
0.004685982,1.6056699,0.40230724
0.004679574,1.6058757,0.40203208
0.004672935,1.6060821,0.40174678
0.004667267,1.6062908,0.40150306
0.0046632453,1.6064987,0.40133002
0.004657032,1.6067048,0.40106258
0.004649161,1.606908,0.40072346
0.004640345,1.6071095,0.4003434
0.0046342392,1.6073121,0.4000799
0.004630153,1.6075165,0.39990348
0.004624395,1.6077205,0.39965478
0.0046172314,1.6079234,0.39934507
0.0046155993,1.608125,0.39927447
0.004610684,1.608328,0.3990618
0.0045976224,1.6085337,0.39849618
0.0045921043,1.6087393,0.39825702
0.004589034,1.6089445,0.3981238
0.0045800186,1.6091473,0.39773256
0.004573098,1.6093522,0.39743194
0.004573317,1.6095552,0.39744148
0.00456624,1.6097574,0.39713383
0.004552315,1.6099585,0.39652783
0.0045496384,1.6101588,0.39641124
0.004545985,1.6103586,0.39625204
